trend;Скорость реагирования;place_total_fail;place_total_letters;link_numbers;severity;google_rating;place_id;name;place_fail_rel_size;site;rating
0.0;;1.0;147.0;234.0;1.0;;ChIJfdsnBwNLtUYR5lPQmuVHdpc;Нижфарм ОАО;0.011627906976744186;http://stada.ru/;0.5038759689922481
0.0;;1.0;347.0;209.0;1.0;2.4;ChIJgTkLbY85tUYRjy6a50nTqAQ;Фармстандарт-Уфимский витаминный завод ОАО;0.001769911504424779;https://pharmstd.ru/;0.5072566371681416
-1.0;;5.0;19.0;8.0;0.7777777777777778;;ChIJh5D3XkHJSkERlTDYYs0NaxE;"Промышленная химико-фармацевтическая компания  открытое акционерное общество ""Медхимпром"" (ОАО ПХФК ""Медхимпром"")";0.10526315789473684;http://www.medhimprom.ru/kontakty;0.4610136452241715
0.0;;2.0;36.0;20.0;1.0;;ChIJh6UxpMhLtUYRI6kmpUlpPqM;Польфа-Лодзь фармацевтический завод АО;0.045454545454545456;https://www.polfa.eu/ru/;0.5151515151515151
0.0;358.0;9.0;432.0;25.0;1.0;;ChIJhZzA0A9LtUYRKNy2RR6u9uA;Шрея Лайф Сайенсиз Пвт.Лтд;0.04225352112676056;http://www.shreyalife.com/;0.5140845070422535
0.0;;1.0;3.0;155.0;1.0;5.0;ChIJieZTUhNKtUYRlHpcqUkqDTE;"Федеральное государственное унитарное предприятие «Научно-производственное объединение по медицинским  иммунобиологическим препаратам «Микроген» (ФГУП ""НПО ""Микроген"")";0.003846153846153847;http://www.microgen.ru/;0.3346153846153846
0.0;;1.0;28.0;153.0;1.0;5.0;ChIJk7FXGh5KtUYRUtOdUwazFNE;Фармация Лтд (компания группы Пфайзер);0.5;http://www.dsm.ru/;0.5
0.0;;2.0;39.0;9.0;1.0;;ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;0.0019120458891013386;http://utrinos.ru/;0.5006373486297004
0.0;;28.0;132.0;118.0;0.4841269841269841;;ChIJl4iGdHI1tUYRPpuMLBy-t98;"Открытое акционерное общество ""Верофарм""";0.013544018058690743;https://veropharm.ru/;0.33255700072855826
0.0;;2.0;25.0;;1.0;5.0;ChIJm0SyLPhHtUYRQqEUH_oP958;"ООО ""Славянская аптека""";0.054054054054054064;http://www.аптекафармас.рф/;0.3513513513513513
