place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение;"Торговое наименование
лекарственного препарата"
ChIJ4w5Mw8bU3UMRTRqwLhVueGA;АстраЗенека ЮК Лтд;Вимово
ChIJQeD8TDyzSkERookfhrZrnLg;"Акционерное Общество ""Гриндекс""";Миканисал®
ChIJBwmA5a5LtUYRr3I72lqEAvU;Орион Корпорейшн Орион Фарма;Беклометазон Орион Фарма
ChIJ3Vw1Vm9NtUYRZaxBRnQIIKA;Доктор Вильмар Швабе ГмбХ & Ко.КГ;Дормиплант-Валериана
ChIJ3Vw1Vm9NtUYRZaxBRnQIIKA;Доктор Вильмар Швабе ГмбХ и Ко.КГ;Дормиплант-Валериана
ChIJXzhChTxItUYRrZLAAkdQf_c;Берингер Ингельхайм Интернешнл ГмбХ;Тражента
ChIJXzhChTxItUYRrZLAAkdQf_c;Берингер Ингельхайм Интернешнл ГмбХ;Тражента®
ChIJI3pnC8A2tUYRELgrYngPJCg;"Общество с ограниченной ответственностью ""КОМПАНИЯ ""ДЕКО"" (ООО ""КОМПАНИЯ ""ДЕКО"")";Холина альфосцерат
ChIJp4q1IRNLtUYRf8uZUhOrFeI;"ООО ""ВАЛЕАНТ""";Клиндатоп
ChIJsz9wC_U1tUYRwxIp1LVDgms;Ельфа фармзавод А.О.;Клиндатоп
ChIJp4q1IRNLtUYRf8uZUhOrFeI;"ООО ""ВАЛЕАНТ""";Люксфен®
ChIJsz9wC_U1tUYRwxIp1LVDgms;Ельфа фармзавод А.О.;Люксфен®
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ЗАО ""Фармацевтический завод ЭГИС""";Гесседил
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ЗАО ""Фармацевтический завод ЭГИС""";ГЕССЕДИЛ
ChIJf5WJuQNLtUYR53XHU6jH9zM;ООО Актавис;Гемцитабин-Актавис
;Актавис Групп ПТС ехф;Гемцитабин-Актавис
ChIJT9q7JyRLtUYR6QWCuJ26Rf8;Юнифарм Инк;АРТРА® МСМ ФОРТЕ
ChIJT9q7JyRLtUYR6QWCuJ26Rf8;Юнифарм Инк;Артра® МСМ форте
ChIJfdyTdHdNtUYRuB5wocZg_BA;Роутек Лтд;Моксин
ChIJfdyTdHdNtUYRuB5wocZg_BA;Роутек Лимитед;Ротомокс
;"Открытое акционерное общество ""Самарамедпром"" (ОАО ""Самарамедпром"")";альфа-Токоферола ацетата раствор в масле (витамин Е)
;"ОАО ""Ивановская фармацевтическая фабрика""";Касторовое масло
;"Открытое акционерное общество ""Муромский приборостроительный завод"" (ОАО ""МПЗ"")";Гепарин
;"Акционерное общество ""Муромский приборостроительный завод"" (АО ""МПЗ"")";Гепарин
;"ОАО ""Ивановская фармацевтическая фабрика""";Зубные капли
ChIJgTkLbY85tUYRjy6a50nTqAQ;"ОАО ""Фармстандарт""";ФТОРУРАЦИЛ
ChIJgTkLbY85tUYRjy6a50nTqAQ;Фармстандарт ОАО;Фторурацил
ChIJgTkLbY85tUYRjy6a50nTqAQ;"Публичное акционерное общество ""Фармстандарт"" (ПАО ""Фармстандарт"")";ФТОРУРАЦИЛ
ChIJC9qlt9MstUYRmvj5LMf-JFY;"Закрытое акционерное общество ""Канонфарма продакшн""";Мелоксикам
ChIJC9qlt9MstUYRmvj5LMf-JFY;"Закрытое акционерное общество ""Канонфарма продакшн"" (ЗАО ""Канонфарма продакшн"")";Мелоксикам Канон
ChIJQ4S7OhE1tUYRsayopXzdjU4;Закрытое акционерное общество «Фармацевтическое предприятие «Оболенское» (ЗАО «ФП «Оболенское»);Цетиризин-OBL
ChIJQ4S7OhE1tUYRsayopXzdjU4;"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское"" (ЗАО ""ФП ""Оболенское"")";Цетиризин-OBL
ChIJC9qlt9MstUYRmvj5LMf-JFY;"Закрытое акционерное общество ""Канонфарма продакшн""";Глимепирид Канон
ChIJC9qlt9MstUYRmvj5LMf-JFY;"Закрытое акционерное общество ""Канонфарма продакшн"" (ЗАО ""Канонфарма продакшн"")";Глимепирид Канон
ChIJQciYlIBKtUYRgc7hMvgEKoY;"Общество с ограниченной ответственностью ""Озон"" (ООО ""Озон"")";Бисангил
;"ЗАО ""ЛЕНТЕХГАЗ""";Кислород газообразный медицинский
ChIJwfdBT4lOtUYRlvmtgXtPoYc;"ОАО ""Фармак""";ЭВКАЗОЛИН АКВА
ChIJkXvpz6JOtUYRL0UDgEU1PWc;"Публичное акционерное общество ""Фармак"" (ПАО ""Фармак"")";Эвказолин Аква
ChIJwfdBT4lOtUYRlvmtgXtPoYc;"ОАО ""Фармак""";Эвказолин Аква
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;КРКА, д.д., Ново место, Словения;Роксера
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;"АО ""КРКА, д.д., Ново место""";Роксера
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;"АО ""КРКА, д.д., Ново место""";Роксера®
;"Закрытое акционерное общество ""Медисорб"" (ЗАО ""Медисорб"")";Аскорбиновая кислота с глюкозой
ChIJRyy2-nxKtUYRr2meqfHJvpw;Эдж Фарма Прайвет Лимитед;СР-Кларен
ChIJAQDMt-NKtUYRM4Emp4K--ZI;Авентис Фарма С.А.;Таксотер®
;Эбботт Хелскеа Продактс Б.В.;Дюспаталин®
;"Фармацевтический завод ""ПОЛЬФАРМА"" АО";Орлистат-Акрихин
;"Фармацевтический завод ""ПОЛЬФАРМА"" АО";Орлимакс
ChIJp7OiFxBLtUYRAlLOfZyUKcg;ОАО «Гедеон Рихтер»;Ленуксин®
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";Ленуксин®
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер Фарма АГ;Ксарелто®
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер Шеринг Фарма АГ;Ксарелто®
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер АГ;Ксарелто®
ChIJm-cMzrhLtUYRXMTQxK4KaM0;Мерк Шарп и Доум Б.В.;Золинза®
;"Открытое акционерное общество ""Тюменский химико-фармацевтический завод"" (ОАО ""ТХФЗ"")";Ацетилсалициловая кислота-ЛекТ
;"АО ""Кировская фармацевтическая фабрика""";Скипидарная мазь
;"ОАО ""Кировская фармацевтическая фабрика""";Скипидарная мазь
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ЗАО ""Фармацевтический завод ЭГИС""";Нофлюкс®
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ОАО ""Фармацевтический завод ЭГИС""";Нофлюкс
ChIJ_5nO4RRLtUYRgKPSs_37TYk;Лабораториос Ликонса С.А.;Золиспан
ChIJQe3EgNG0SkERHPLPfBYt7Do;"АО ""Олайнфарм""";Неомидантан
ChIJcWTIzMtItUYRsMzR_m-qC_s;"ЗАО ""ГлаксоСмитКляйн Трейдинг""";Мемикар
;"Открытое акционерное общество ""Муромский приборостроительный завод"" (ОАО ""МПЗ"")";Диклофенак
;"Акционерное общество ""Муромский приборостроительный завод""";Диклофенак
;"Акционерное общество ""Муромский приборостроительный завод"" (АО ""МПЗ"")";Диклофенак
ChIJY5alyXk2tUYRlxyBZb2_pAM;Ранбакси Лабораториз Лимитед;Оланекс
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд;Оланекс
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз ГмбХ;Бинокрит®
;"ОАО ""Марбиофарм""";Фолиевая кислота
ChIJRyy2-nxKtUYRr2meqfHJvpw;Эдж Фарма Прайвет Лимитед;Периндид
;Актавис Групп ПТС ехф;Лестродекс
ChIJ082evx9LtUYRfteuOWQcgD8;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения и социального развития Российской Федерации (ФГУП ""НПО ""Микроген"" Минздравсоцразвития России)";Валерианы корневища с корнями
ChIJieZTUhNKtUYR-gKL6naxjzU;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)";Валерианы корневища с корнями
ChIJ-8ek18xJtUYR3JOmVnhoXCE;"Открытое Акционерное Общество ""Уралбиофарм""";Преднизолон
ChIJ-8ek18xJtUYR3JOmVnhoXCE;"Открытое акционерное общество ""Уралбиофарм"" (ОАО ""Уралбиофарм"")";Преднизолон
ChIJaXNA0AlKtUYRzxHJj47qcZs;Хемофарм А.Д.;Панклав 2X
ChIJvS5sNolKtUYR0TfMFpYvPcU;Бристол-Майерс Сквибб Компани;Эликвис®
ChIJvS5sNolKtUYR0TfMFpYvPcU;Бристол-Майерс Сквибб Компани;Эликвис
ChIJ4xjzpN1LtUYRDv4p0PPL69Y;Пфайзер Инк;Эликвис®
ChIJRyy2-nxKtUYRr2meqfHJvpw;Анстар АГ;Золедрэкс®
;"Закрытое акционерное общество ""Фармпроект""";Флуконазол
;"ЗАО ""Фармпроект""";Флуконазол
;"Акционерное общество ""Фармпроект"" (АО ""Фармпроект"")";Флуконазол
;Актавис Групп ПТС ехф;Леобэг
ChIJK_t0p51JtUYR4sDo0FT6H3Q;Хайгланс Лабораториз Пвт. Лтд;Хайрабезол
ChIJAYNGsG5MtUYRKIQegK7V9Q4;"ООО ""Лек С+""";Дуба кора
ChIJN6HKHxZLtUYRdmH4zD2uK14;"ООО ""МСД Фармасьютикалс""";Амзаар
;Ханми Фарм. Ко., Лтд;Амозартан
;Ханми Фарм. Ко., Лтд;Лозап® АМ
ChIJAYNGsG5MtUYRKIQegK7V9Q4;"ООО ""Лек С+""";Зверобоя трава
ChIJM3hjD68_tUYRjihSwzukHLc;"ООО ""Акела-Н""";Кислород медицинский
;"Открытое акционерное общество ""Самарамедпром"" (ОАО ""Самарамедпром"")";Облепиховое масло
ChIJv4SpIY9OtUYRCYJd7iqMnTg;"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""";Мяты перечной листья
ChIJ5XVxn8JKtUYRczn69jOkjv4;"""Ипсен Фарма""";Диспорт
ChIJ5XVxn8JKtUYRczn69jOkjv4;Ипсен Фарма;Диспорт®
ChIJsygL9UIUtUYRsYlUQqhOn8U;"ЗАО ""Биннофарм""";Дротаверин
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер"" (Венгрия)";Сонирид Дуо
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";Сонирид Дуо
;ЮСБ Мэньюфэкчуринг Айлэнд Лтд;Ньюпро®
;Шварц Фарма Лтд;Ньюпро®
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";Синглон®
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;Микофенолат-Тева
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Микофенолат-Тева
;"Общество с ограниченной ответственностью ""Тульская фармацевтическая фабрика"" (ООО ""Тульская фармацевтическая фабрика"")";Элеутерококка экстракт жидкий
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Лабораториос Леон Фарма С.А.;Диециклен ®
ChIJt9KS95lLtUYRnI8sQf75Cq0;БиСи Фарма Б.В.;Диециклен®
ChIJRxMHmr1LtUYRdsIccQ5Jgrs;Эксэлтис Хелскеа С.Л.;Диециклен®
ChIJPwXWEyi1SkERq8Hod9dusM4;"Закрытое акционерное общество ""Научно-производственный центр ""Эльфа""";Цефбактам
ChIJHXK1JTqzSkERrd1Fn4mjUWI;С.П. Инкомед ООО;Пактоцеф
;Протекх Биосистемс Пвт.Лтд;Пактоцеф
