,name,"(0, 'place_id')",place_id
208,Фрезениус Каби Дойчланд ГмбХ,1,ChIJ6XDCYZZLtUYRvlYlAN8f6GQ
209,"""Адифарм""ЕАД",1,
210,Адифарм ЕАД,1,ChIJ-xwVCQxMtUYR3b3rG1yjJbw
211,"ООО ""Протек-СВМ""",1,ChIJdc7WB2uzSkERpAE4Y-RSKqI
212,"Общество с ограниченной ответственностью ""ПРОТЕК-СВМ"" (ООО ""ПРОТЕК-СВМ"")",1,ChIJCypTg2RKtUYRI-eS-PnJzYw
213,М.Дж. Биофарм Пвт. Лтд.,1,
214,М.Дж.Биофарм Пвт.Лтд,1,
215,"ФГУП ""Армавирская биологическая фабрика""",1,
216,"Федеральное казённое предприятие ""Армавирская биологическая фабрика""",1,
217,Сан Фармасьютикал Индастриз Лтд.,1,ChIJn_8YrSBNtUYRxyUlP-UJ5Yw
218,Сан Фармасьютикал Индастриз Лтд,1,ChIJn_8YrSBNtUYRxyUlP-UJ5Yw
219,Тева Фармацевтические Предприятия Лтд.,1,ChIJkbo1cRJLtUYRMGRLo57JCGQ
220,Тева Фармацевтические Предприятия Лтд,1,ChIJkbo1cRJLtUYRMGRLo57JCGQ
221,Открытое акционерное общество «Химико-фармацевтический комбинат «АКРИХИН» (ОАО «АКРИХИН»),1,ChIJu4nq5OHPSkERVN5v6SzNWAI
222,"Открытое акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН""",1,ChIJu4nq5OHPSkERVN5v6SzNWAI
223,"ООО ""Фирма ""ВИПС-МЕД""",1,ChIJ_UUnnlortUYRg80Y4wMgJ80
224,Орион Корпорейшн Орион Фарма,1,ChIJBwmA5a5LtUYRr3I72lqEAvU
225,Кларис Лайфсайнсиз Лимитед,1,
226,Кларис Оцука Прайвит Лимитед,1,ChIJ-zHoPnZJtUYR8D_m_FLE-Ec
227,"ООО ""Лек С+""",1,ChIJAYNGsG5MtUYRKIQegK7V9Q4
228,Лаборатория Буарон,1,ChIJeySiq2RKtUYRjpvXVixFYpc
229,Буарон,1,ChIJeySiq2RKtUYRjpvXVixFYpc
230,БУАРОН,1,ChIJeySiq2RKtUYRjpvXVixFYpc
231,"Открытое акционерное общество ""Акционерное Курганское общество медицинских препаратов и изделий ""Синтез"" (ОАО ""Синтез"")",1,ChIJTyK6ImA5tUYRQLQBzlUGo5Q
232,"Открытое акционерное общество ""Акционерное Курганское общество медицинских препаратов и изделий ""Синтез""",1,ChIJTyK6ImA5tUYRQLQBzlUGo5Q
233,Ферринг АГ,1,ChIJcxfWBLRLtUYRUD7iIwIA3TM
234,"Республиканское Унитарное Производственное Предприятие ""Белмедпрепараты""(РУП ""Белмедпрепараты"")",1,
235,"Мерк Шарп и Доум Б.В., Нидерланды",1,ChIJm-cMzrhLtUYRXMTQxK4KaM0
236,Мерк Шарп и Доум Б.В.,1,ChIJm-cMzrhLtUYRXMTQxK4KaM0
237,Роутек Лтд,1,ChIJfdyTdHdNtUYRuB5wocZg_BA
238,Роутек Лимитед,1,ChIJfdyTdHdNtUYRuB5wocZg_BA
239,"ЗАО ""Производственная фармацевтическая компания Обновление""",1,ChIJsygL9UIUtUYRsYlUQqhOn8U
240,"Закрытое акционерное общество ""Производственная фармацевтическая компания ""Обновление""",1,
241,"ЗАО ""Производственная фармацевтическая компания ""Обновление"" (ЗАО ""ПФК ""Обновление"")",1,
242,"Закрытое акционерное общество ""Биннофарм""",1,ChIJsygL9UIUtUYRsYlUQqhOn8U
243,"Акционерное общество ""Биннофарм"" (АО ""Биннофарм"")",1,ChIJsygL9UIUtUYRsYlUQqhOn8U
244,Лабораториос Баго С.А.,1,
245,"Общество с ограниченной ответственностью ""Валеант""",1,ChIJp4q1IRNLtUYRf8uZUhOrFeI
246,"Закрытое акционерное общество ""Канонфарма продакшн""",1,ChIJC9qlt9MstUYRmvj5LMf-JFY
247,"Закрытое акционерное общество ""Канонфарма продакшн"" (ЗАО ""Канонфарма продакшн"")",1,ChIJC9qlt9MstUYRmvj5LMf-JFY
248,Санофи-Авентис,1,ChIJAQDMt-NKtUYRM4Emp4K--ZI
249,"ООО ""Фармацевтическая компания ""Здоровье""",1,ChIJN5niGMw3tUYRBb895tvqGIM
250,"ООО ""Виал""",1,ChIJYeChugRStUYRGFf9Cm5ndhY
251,"ООО ""ВИАЛ""",1,ChIJYeChugRStUYRGFf9Cm5ndhY
252,"РУП ""Белмедпрепараты""",1,
253,"ЗАО ""КОРАЛ-МЕД""",1,ChIJ4-Ay-9pNtUYRqAtOS1OnNv8
254,"Закрытое акционерное общество ""Иван-Чай"" (ЗАО ""Иван-Чай"")",1,ChIJs60Km8KtSkERvG2zW1VWZuw
255,"ООО ""Проктер энд Гэмбл Дистрибьюторская компания""",1,ChIJrwgEmTxItUYRUYtqLG6ypAU
256,"ОАО ""Фармстандарт-УфаВИТА""",1,ChIJgTkLbY85tUYRjy6a50nTqAQ
257,"Открытое акционерное общество ""Отисифарм""",1,
258,"Публичное акционерное общество ""Отисифарм""",1,ChIJDQV3Bo85tUYRQEG2NjR2PIQ
259,"Закрытое акционерное общество ""Вертекс""",1,ChIJ9ZYG-qE2tUYR3nk-TKZBYZI
260,"Закрытое акционерное общество ""ВЕРТЕКС"" (ЗАО ""ВЕРТЕКС"")",1,ChIJK4ELVNtNtUYRjlNFkPzgOFg
261,"Акционерное общество ""ВЕРТЕКС"" (АО ""ВЕРТЕКС"")",1,ChIJ9ZYG-qE2tUYR3nk-TKZBYZI
262,"ЗАО ""Аграрно-промышленная фирма ""Фито-Эм""",1,ChIJv4SpIY9OtUYRCYJd7iqMnTg
263,"Открытое акционерное общество ""Фармстандарт-Лексредства"" (ОАО ""Фармстандарт-Лексредства"")",1,ChIJgTkLbY85tUYRjy6a50nTqAQ
264,"Открытое акционерное общество ""Фармстандарт-Лексредства""",1,ChIJgTkLbY85tUYRjy6a50nTqAQ
265,Фами Кэр Лимитед,1,
266,Фами Кер Лимитед,1,
267,Майлен Лабораториз Лимитед,1,ChIJ-zHoPnZJtUYR8D_m_FLE-Ec
268,"Общество с ограниченной ответственностью ""Акафарм"" (ООО ""Акафарм"")",1,
269,"ООО ""Джонсон & Джонсон""",1,ChIJe_0Uoc9ItUYRcRTP3lm7PSQ
270,Шайер Фармасьютикалс Айерленд Лтд,1,
271,"АО ""Фармацевтическое предприятие ""Оболенское""",1,ChIJQ4S7OhE1tUYRsayopXzdjU4
272,Новартис Фарма АГ,1,ChIJveVS7eFKtUYRdVWjQEI-UOk
273,"Открытое акционерное общество ""Флора Кавказа""",1,
274,"Открытое акционерное общество ""Флора Кавказа"" (ОАО ""Флора Кавказа"")",1,
275,"Общество с ограниченной ответственностью ""АБОЛмед""",1,
276,Керн Фарма С.Л.,1,ChIJi9W-h1pKtUYRVjry2w6zFLA
277,"Общество с ограниченной ответственностью ""Альтфарм"" (ООО ""Альтфарм"")",1,
278,Байер Консьюмер Кэр АГ,1,
279,Штайгервальд Арцнеймиттельверк ГмбХ,1,
280,"ОАО Научно-производственный концерн ""ЭСКОМ""",1,
281,"Открытое акционерное общество ""Красфарма"" (ОАО ""Красфарма"")",1,ChIJsQrpg-dKtUYR-HoJoprREHs
282,Протина Фармацеутише ГмбХ,1,ChIJ_5nO4RRLtUYRgKPSs_37TYk
283,"ЗАО ""Берёзовский фармацевтический завод""",1,ChIJbZ0EMSZGtUYRSr3NOkxTHmM
284,"Закрытое акционерное общество ""Березовский фармацевтический завод""",1,
285,"Закрытое акционерное общество ""Березовский фармацевтический завод"" (ЗАО ""БФЗ"")",1,
286,Ферросан А/С,1,ChIJE-dmpWVKtUYRkCPgEhB5toQ
287,Санофи-Синтелабо Вьетнам Фармасьютикал Шарехолдинг Компани,1,
288,Ранбакси Лабораториз Лтд,1,ChIJY5alyXk2tUYRlxyBZb2_pAM
289,"ООО ""Озон""",1,ChIJuVwAaImtSkERpnQslgUctuA
290,"Общество с ограниченной ответственностью ""Озон"" (ООО ""Озон"")",1,ChIJQciYlIBKtUYRgc7hMvgEKoY
291,"Общество с ограниченной ответственностью ""Озон""",1,ChIJQciYlIBKtUYRgc7hMvgEKoY
292,Эбботт ГмбХ и Ко.КГ,1,ChIJT7_H2zxItUYR1N1ini-eKuY
293,"Общество с ограниченной ответственностью ""ЭббВи""",1,
294,"Закрытое акционерное  общество ""Московская фармацевтическая фабрика"" (ЗАО ""Московская фармацевтическая фабрика"")",1,ChIJafQvE983tUYRPbvjlUgEH3o
295,Лекарь ООО,1,ChIJ9aEgpdA3tUYRNaM14QsR7MY
296,"Общество с ограниченной ответственностью ""Лекарь"" (ООО ""Лекарь"")",1,ChIJa6MoFk2pSkERhd0EiKEkgaw
297,ИБСА Институт Биокимик С.А.,1,
298,"ОАО ""Кировская фармацевтическая фабрика""",1,
299,Сандоз д.д.,1,ChIJP9rRaspJtUYRN5_yqYcXiKY
300,Сандоз д.д,1,ChIJP9rRaspJtUYRN5_yqYcXiKY
301,Софарма АО,1,ChIJ-zHoPnZJtUYR8D_m_FLE-Ec
302,"АО ""Софарма""",1,ChIJA51Vz0BNtUYRMD7usBUCauk
303,Плива Хрватска д.о.о.,1,ChIJswjg3NpMtUYRgkjh7DWTyws
